Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
HTTP请求,500,581,551,950,1157,1325,143,1425,0.000%,47.54207,28.14,11.05
总体,500,581,551,950,1157,1325,143,1425,0.000%,47.54207,28.14,11.05
